,Claimant(s)/Nationality(ies): i,Date Registered:,Economic Sector:,Instrument(s) Invoked: i,Latest Development:,Outcome of Proceeding:,Respondent(s):,Status of Proceeding:,Subject of Dispute:
30,"The Lopez-Goyne Family Trust (U.S.), David Michael Goyne (U.S.), Esther Valentina Goyne (U.S.), Janet A. Bochnowski (U.S.), David A. Barish (U.S.), Gale Ruth Feuer Barnish (U.S.), James Douglas Goyne (U.S.), Raymond Gerald (U.S.), Bailey (U.S.), Anita Mejarito-Guzman Ross (U.S.), Elsbeth Irene Foster (U.S.), The Goyne Family Trust (U.S.), Scott Stuart Shogreen (U.S.), Eloisa Lopez Schogreen (U.S.), Harold Orris Shattuck (U.S.), Diane Elizabeth Radu (U.S.), Walter John Bilger (U.S.), The Bochnowski Family Trust (U.S.), The Barnish Family Trust of 2008 (U.S.), Hill Exploration Corporation (U.S.), LG Hawaii Oil & Gas, Inc. (U.S.), LG Hawaii Development Corporation (U.S.), Michael David Goyne (U.S.), Emily Lopez Goyne (U.S.)",19-Dec-17,"Oil, Gas & Mining",CAFTA-DR (Dominican Republic-Central America Free Trade Agreement),"January 10, 2018 - Following appointment by the Respondent, Brigitte Stern (French) accepts her appointment as arbitrator.",,"Ministerio de Fomento, Industria y Comercio, Managua, Nicaragua",Pending,Hydrocarbons concession
31,"Samsung Engineering Co., Ltd. (Korean)",10-Nov-17,Electric Power & Other Energy,"BIT Saudi Arabia - Korea, Republic of 2002","June 21, 2018 - The Tribunal issues Procedural Order No. 1 concerning procedural matters.",,Kingdom of Saudi Arabia (Saudi Arabian),Pending,Electric power generation project
32,MAKAE Europe SARL (French),08-Nov-17,Other Industry,BIT France - Saudi Arabia 2002,"June 25, 2018 - The Tribunal holds a first session by telephone conference.",,Kingdom of Saudi Arabia (Saudi Arabian),Pending,Retail enterprise
33,"DCM Energy GmbH & Co. Solar 1 KG (German), DCM Energy GmbH & Co. Solar 2 KG (German), Edisun Power Europe A.G. (Swiss), Hannover Leasing Sun Invest 2 Spanien Beteiligungs GmbH (German), Hannover Leasing Sun Invest 2 Spanien GmbH & Co. KG (German)",31-Oct-17,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 14, 2018 - The Tribunal is constituted in accordance with Article 37(2)(a) of the ICSID Convention.  Its members are: Carole Malinvaud (French), President, appointed by the Secretary-General pursuant to the parties�_agreement; Oscar M. Garibaldi (Argentine/U.S.), appointed by the the Claimants; and Pierre-Marie Dupuy (French), appointed by the Respondent.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
34,APCL Gambia B.V. (Dutch),17-Oct-17,"Oil, Gas & Mining","BIT Gambia, The - Netherlands 2002",,"June 7, 2018 - The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of The Gambia (Gambian),Concluded,Hydrocarbon concession
35,"APCL Gambia B.V. (Dutch), African Petroleum Gambia Limited (British)",17-Oct-17,"Oil, Gas & Mining",Contract,,"June 7, 2018 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of The Gambia (Gambian),Concluded,Hydrocarbon concession
36,"APCL Gambia B.V. (Dutch), African Petroleum Gambia Limited (British)",17-Oct-17,"Oil, Gas & Mining",Contract,"June 7, 2018 - The Tribunal issues Procedural Order No. 1 consolidating ICSID Cases African Petroleum Gambia Limited and APCL Gambia B.V. v. Republic of The Gambia (ICSID Cases No. ARB/17/38), African Petroleum Gambia Limited and APCL Gambia B.V. v. Republic of The Gambia (ICSID Cases No. ARB/17/39), and APCL Gambia B.V. v. Republic of The Gambia (ICSID Cases No. ARB/17/40).",,Republic of The Gambia (Gambian),Pending,Hydrocarbon concession
37,"Addiko Bank d.d. (Croatian), Addiko Bank AG (Austrian)",27-Sep-17,Finance,BIT Croatia - Austria 1997,"May 18, 2018 - The Tribunal issues Procedural Order No. 1 concerning procedural matters.",,Republic of Croatia (Croatian),Pending,Banking services and debt instruments
38,"Arin Capital & Investment Corp. (U.S.), Edmond Khudyan (U.S.)",27-Sep-17,Construction,BIT United States of America - Armenia 1992,"June 7, 2018 - The Tribunal issues Procedural Order No. 1 concerning procedural matters.",,Republic of Armenia (Armenian),Pending,Real estate and land development
39,Venoklim Holding B.V. (Dutch),25-Sep-17,Other Industry,"BIT Netherlands - Venezuela, Republica Bolivariana de 1991","March 19, 2018 - The Tribunal is constituted in accordance with Article 9 of the Arbitration (Additional Facility) Rules.  Its members are: Eduardo Damião Gonçalves (Brazilian), President, appointed by the Chairman of the Administrative Council in accordance with Article 10 of the Arbitration (Additional Facility) Rules; Juan Pablo Cárdenas Mejía (Colombian), appointed by the Claimant; and Gabriel Bottini (Argentine), appointed by the Respondent.",,Bolivarian Republic of Venezuela (Venezuelan),Pending,Lubricant production facilities
40,Addiko Bank AG (Austrian),19-Sep-17,Finance,"BIT Yugoslavia, Federal Republic of - Austria 2001","May 7, 2018 - Following appointment by the co-arbitrators, Bernard Hanotiau (Belgian) accepts his appointment as presiding arbitrator.",,Montenegro (Montenegrin),Pending,Banking services and debt instruments
41,"Vento Motorcycles, Inc. (U.S.)",15-Sep-17,Services & Trade,NAFTA (North American Free Trade Agreement),"June 15, 2018 - The Tribunal issues Procedural Order No. 2 concerning production of documents.",,United Mexican States (Mexican),Pending,Transportation industry
42,"Raiffeisen Bank International AG (Austrian), Raiffeisenbank Austria d.d. (Croatian)",15-Sep-17,Finance,BIT Croatia - Austria 1997,"June 25, 2018 - The Tribunal holds a first session by telephone conference.",,Republic of Croatia (Croatian),Pending,Banking services and debt instruments
43,"EcoDevelopment in Europe AB (Swedish), Bagamoyo EcoEnergy Limited (Tanzanian), Agro EcoEnergy Tanzania Limited (Tanzanian), EcoEnergy Africa AB (Swedish)",11-Sep-17,"Agriculture, Fishing & Forestry",BIT Sweden - Tanzania 1999,"April 24, 2018 - The Tribunal issues Procedural Order No. 1.",,United Republic of Tanzania (Tanzanian),Pending,Agribusiness project
44,"Elitech B.V. (Dutch), Razvoj Golf D.O.O. (Croatian)",06-Sep-17,Tourism,BIT Croatia - Netherlands 1998,"June 6, 2018 - The Tribunal issues Procedural Order No. 1 concerning procedural matters.",,Republic of Croatia (Croatian),Pending,Real estate projects
45,Future Pipe International B.V. (Dutch),24-Aug-17,"Water, Sanitation & Flood Protection","BIT Netherlands - Egypt, Arab Republic of 1996","May 4, 2018 - The Claimant files a memorial on the merits.",,Arab Republic of Egypt (Egyptian),Pending,Pipe manufacturing enterprise
46,Lotus Holding Anonim Şirketi (Turkish),22-Aug-17,Electric Power & Other Energy,BIT Turkmenistan - Turkey 1992 - ECT (Energy Charter Treaty),"June 17, 2018 - The Claimant files a rejoinder on preliminary objections pursuant to ICSID Arbitration Rule 41(5).",,Turkmenistan (Turkmen),Pending,Energy
47,"Silk Road Holdings B.V. (Dutch), Gardabani Holdings B.V. (Dutch)",18-Aug-17,Electric Power & Other Energy,BIT Georgia - Netherlands 1998,"June 13, 2018 - The Tribunal holds a first session by telephone conference.",,Georgia (Georgian),Pending,Electric power generation and distribution
48,Eutelsat S.A. (French),16-Aug-17,Information & Communication,BIT Mexico - France 1998,"June 8, 2018 - The Tribunal is constituted in accordance with Article 6(3) of the Additional Facility Rules. Its members are: Alfredo Bullard (Peruvian), President, appointed by agreement of the Parties; Francisco Orrego Vicuña (Chilean), appointed by the Claimant; and Marcelo Kohen (Argentine), appointed by the Respondent.",,United Mexican States (Mexican),Pending,Telecommunications concession
49,"LTME Mauritius Limited (Mauritian), Madamobil Holdings Mauritius Limited (Mauritian)",09-Aug-17,Information & Communication,BIT Madagascar - Mauritius 2004 - Investment Law - Madagascar (2008),"June 22, 2018 - The Tribunal is constituted in accordance with Article 37(2)(a) of the ICSID Convention. Its members are: David A.O. Edward (British), President, appointed by the Chairman of the Administrative Council in accordance with Article 38 of the ICSID Convention; Fernando Mantilla-Serrano (Colombian), appointed by the Claimants; and Brigitte Stern (French), appointed by the Respondent.",,Republic of Madagascar (Malagasy),Pending,Telecommunications enterprise
50,"Kintyre Kft (Hungarian), Inicia Zrt (Hungarian), Magyar Farming Company Ltd (British)",01-Aug-17,"Agriculture, Fishing & Forestry",BIT United Kingdom of Great Britain and Northern Ireland - Hungary 1987,"April 27, 2018 - The Claimants file a memorial on the merits.",,Hungary (Hungarian),Pending,Farming Enterprise
51,"Puma Energy PNG Refining Limited (Papua New Guinea), Puma Energy PNG Supply Ltd (British)",31-Jul-17,"Oil, Gas & Mining",Contract,,"May 2, 2018 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Independent State of Papua New Guinea (Papua New Guinea),Concluded,Oil refinery
52,Mabco Constructions SA (Swiss),21-Jul-17,Tourism,"BIT Kosovo, Republic of - Switzerland 2011 - Investment Law - KOSOVO (2014)","March 12, 2018 - The proceeding is stayed for non-payment of the required advances pursuant to ICSID Administrative and Financial Regulation 14(3)(d).",,Republic of Kosovo (Kosovar),Pending,Acquisition of shares
53,"Burhan Enuştekin (Turkish), Bursel Tekstil Sanayi Ve Di�_Ticaret A.�_ (Turkish), Selim Kaptanoğlu (Turkish)",19-Jul-17,Other Industry,BIT Turkey - Uzbekistan 1992 - Investment Law - Uzbekistan (1998),"May 11, 2018 - The Tribunal issues Procedural Order No. 1 on procedural matters.",,Republic of Uzbekistan (Uzbek),Pending,Textile Enterprise
54,"CMC Muratori Cementisti CMC Di Ravenna SOC. Coop. (Italian,Mozambican), CMC Africa Austral, LDA (Italian,Mozambican), CMC MuratoriCementisti CMC Di Ravenna SOC. Coop. A.R.L. Maputo Branch and CMC Africa (Italian,Mozambican)",14-Jul-17,Construction,BIT Italy - Mozambique 1998,"May 22, 2018 - The Tribunal issues Procedural Order No. 2 concerning production of documents.",,Republic of Mozambique (Mozambican),Pending,Highway construction project
55,Big Sky Energy Corporation (U.S.),07-Jul-17,"Oil, Gas & Mining",BIT United States of America - Kazakhstan 1992,"June 18, 2018 - The Tribunal is reconstituted. Its members are Bernardo M. Cremades (Spanish), President; Stanimir Alexandrov (Bulgarian), appointed by the Claimant; and Peter Tomka (Slovak) appointed by the Respondent in accordance with ICSID Arbitration Rule 11(1). The proceeding is resumed pursuant to ICSID Arbitration Rule 12.",,Republic of Kazakhstan (Kazakhstani),Pending,Oil and gas exploration and production
56,DP World Limited (United Arab Emirates),29-Jun-17,Transportation,BIT United Arab Emirates - Belgium-Luxembourg 2004,"April 20, 2018 - The Tribunal issues Procedural Order No. 2 concerning the Respondent’s request to address the objections to jurisdiction as a preliminary question.",,Kingdom of Belgium (Belgian),Pending,Port concession agreement
57,BM Mühendislik ve İnşaat A.�_ (Turkish),28-Jun-17,Construction,,"February 14, 2018 - The Tribunal issues Procedural Order No. 1 concerning procedural matters.",,United Arab Emirates (United Arab Emirates),Pending,Construction
58,"Mr. Jorge Blanco (U.S.), Mr. Joshua Dean Nelson (U.S.)",26-Sep-16,Information & Communication,NAFTA (North American Free Trade Agreement),"June 8, 2018 - The Tribunal issues Procedural Order No. 7 concerning procedural matters.",,United Mexican States (Mexican),Pending,Telecommunications enterprise
59,Hela Schwarz GmbH (German),21-Jun-17,Other Industry,BIT China - Germany 2003,"April 10, 2018 - The Tribunal decides on provisional measures and the Claimant’s request to amend the request for arbitration.",,People’s Republic of China (Chinese),Pending,Spice products company
60,"Peter de Sutter (Belgian), Kristof De Sutter (Belgian), (DS)2, S.A. (Luxembourg)",14-Jun-17,Other Industry,BIT Belgium-Luxembourg - Madagascar 2005,"May 17, 2018 - The Tribunal decides on the Respondent’s request of April 30, 2018.",,Republic of Madagascar (Malagasy),Pending,Textile enterprise
61,"MetLife Seguros de Retiro S.A. (Argentine), MetLife Servicios S.A. (Argentine), MetLife, Inc. (U.S.)",14-Jun-17,Other Industry,BIT United States of America - Argentina 1991,"April 6, 2018 - The Tribunal holds a first session by telephone conference.",,Argentine Republic (Argentine),Pending,Pension system
62,"Carlos Rios (Colombian), Francisco Javier Rios (Colombian)",13-Jun-17,Transportation,FTA Colombia - Chile,"June 13, 2018 - The Respondent files a counter-memorial on the merits and a memorial on jurisdiction.",,Republic of Chile (Chilean),Pending,Transportation concession
63,Portigon AG (German),22-May-17,Electric Power & Other Energy,ECT (Energy Charter Treaty),"May 31, 2018 - The Tribunal issues Procedural Order No. 2 concerning procedural matters.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
64,"Rockhopper Exploration Plc (British), Rockhopper Italia S.p.A. (Italian), Rockhopper Mediterranean Ltd (British)",19-May-17,"Oil, Gas & Mining",,"June 1, 2018 - The Claimants file a rejoinder on preliminary objections pursuant to ICSID Arbitration Rule 41(5).",,Italian Republic (Italian),Pending,Oil and gas exploration and production
65,"WRB Enterprises, Inc. (U.S.), Grenada Private Power Limited (Grenadian)",15-May-17,Electric Power & Other Energy,Contract,"June 22, 2018 - The Respondent files observations on the Claimants�_request for provisional measures.",,Grenada (Grenadian),Pending,Electricity enterprise
66,Jochem Bernard Buse (Dutch),11-May-17,Finance,BIT Netherlands - Panama 2000,"April 19, 2018 - The Tribunal issues Procedural Order No. 3 concerning production of documents.",,Republic of Panama (Panamanian),Pending,Financial services
67,"Pawlowski AG (Swiss), Project Sever s.r.o. (Czech)",03-May-17,Construction,BIT Switzerland - Czech Republic 1990,"February 13, 2018 - The Tribunal issues Procedural Order No. 1 concerning procedural matters.",,Czech Republic (Czech),Pending,Real estate development
68,,,Other Industry,BIT Lao People's Democratic Republic - China 1993,"June 25, 2018 - The Claimants file a renewed request for the Tribunal to decide on production of documents.",,Lao People’s Democratic Republic (Lao),Pending,Gaming Industry
69,"Itisaluna Iraq LLC (Jordanian), VTEL Middle East and Africa Limited (United Arab Emirates), VTEL Holdings Ltd. (United Arab Emirates), Munir Sukhtian International Investment LLC (Jordanian)",13-Apr-17,Information & Communication,"Agreement on Promotion and Protection and Guarantee of Investments among Member States of the Organisation of the Islamic Conference, Agreement between Japan and the Republic of Iraq for the Promotion and Protection of Investment","June 6, 2018 - The Claimants file observations on the request to address the objections to jurisdiction as a preliminary question.",,Republic of Iraq (Iraqi),Pending,Telecommunications enterprise
70,"Lidercón, S.L. (Spanish)",05-Apr-17,Transportation,BIT Spain - Peru 1994,"February 6, 2018 - The Claimant files a memorial on the merits.",,Republic of Peru (Peruvian),Pending,Transportation services
71,"Obrascón Huarte Lain S.A. (Spanish), Rizzani de Eccher S.p.A. (Italian), Trevi S.p.A. (Italian)",03-Mar-17,Construction,"BIT Kuwait - Italy 1987, BIT Kuwait - Spain 2005","May 11, 2018 - The Tribunal issues Procedural Order No. 2 concerning the Respondent’s request to address the objections to jurisdiction as a preliminary question.",,State of Kuwait (Kuwaiti),Pending,Highway construction project
72,Agility Public Warehousing Company K.S.C. (Kuwaiti),24-Feb-17,Information & Communication,BIT Iraq - Kuwait 2013,"April 30, 2018 - The Claimant files a memorial on the merits.",,Republic of Iraq (nationality not available),Pending,Telecommunications enterprise
73,Anglo-Adriatic Group Limited (British),17-Feb-17,Other Industry,"Albanian Law 7764 ""On Foreign Investment"" as amended by Law 10316","June 25, 2018 - The Claimant files a rejoinder on jurisdiction.",,Republic of Albania (Albanian),Pending,Privatization vouchers
74,Mr. Eugene Kazmin (Ukrainian),03-Feb-17,Other Industry,BIT Latvia - Ukraine 1997,"May 4, 2018 - The Claimant files a memorial on the merits.",,Republic of Latvia (Latvian),Pending,Acquisition of metallurgical plant
75,Bank of Cyprus Public Company Limited (Cypriot),02-Feb-17,Finance,BIT Cyprus - Greece 1992,"June 20, 2018 - The Respondent files a counter-memorial on preliminary objections and liability.",,Hellenic Republic (Greek),Pending,Debt instruments and banking services
76,Metro de Lima Línea 2 S.A. (Peruvian),01-Feb-17,Transportation,Contract,"September 25, 2017 - The Tribunal issues Procedural Order No. 1 concerning procedural matters.",,Republic of Peru (Peruvian),Pending,Metro concession agreement
77,Mera Investment Fund Limited (Cypriot),26-Jan-17,Finance,BIT Serbia - Cyprus 2005,"May 16, 2018 - The Tribunal issues a decision on the Respondent’s request to address objections to jurisdiction as a preliminary question; as a result the proceeding on the merits is suspended.",,Republic of Serbia (Serbian),Pending,Financial Services
78,Ortiz Construcciones y Proyectos S.A. (Spanish),24-Jan-17,Construction,BIT Spain - Algeria 1994,"June 20, 2018 - The Tribunal issues Procedural Order No. 2 concerning production of documents.",,People''s Democratic Republic of Algeria (Algerian),Pending,Construction of housing and public infrastructure
79,Air Canada (Canadian),13-Jan-17,Transportation,"BIT Canada - Venezuela, Republica Bolivariana de 1996","June 15, 2018 - The Respondent files a request to address the objections to jurisdiction as a preliminary question.",,Bolivarian Republic of Venezuela (Venezuelan),Pending,Air transportation services
80,"Mr. Oscar Rivera (U.S.), Omega Engineering LLC (U.S.)",30-Dec-16,Construction,BIT United States of America - Panama 1982 - 2007 US Panama Trade Promotion Agreement (TPA),"June 22, 2017 - The Tribunal issues Procedural Order No. 1 concerning procedural matters.",,Republic of Panama (Panamanian),Pending,Infrastructure construction projects
81,Eco Oro Minerals Corp. (Canadian),29-Dec-16,"Oil, Gas & Mining",FTA Canada - Colombia,"May 18, 2018 - The Claimant files observations on the request to address the objections to jurisdiction as a preliminary question.",,Republic of Colombia (Colombian),Pending,Mining concession
82,Saint Patrick Properties Corporation (Barbadian),19-Dec-16,Transportation,"BIT Venezuela, Republica Bolivariana de - Barbados 1994","April 3, 2018 - The Tribunal issues Procedural Order No. 1 concerning procedural matters.",,Bolivarian Republic of Venezuela (Venezuelan),Pending,Marine transport and related services enterprise
